fecha,producto_id,cantidad,total_venta
2024-01-19,P001,18.0,3386.05
2024-01-14,P098,-4.0,1093.24
2024-01-15,P013,-1.0,444.73
2024-05-11,P083,-7.0,422.83
2024-07-29,P084,-2.0,456.83
2024-03-04,P049,16.0,5508.16
2024-04-25,P045,14.0,442.0
2024-09-20,P008,6.0,-1052.32
2024-10-23,P011,3.0,-336.13
2024-12-28,P074,5.0,-568.49
2024-01-18,P006,16.0,2379.59
2024-04-05,P045,17.0,6047.24
2024-07-02,P095,5.0,979.61
2024-04-04,P063,10.0,4014.47
2024-01-28,P031,11.0,4766.24
2024-12-23,P014,15.0,6473.35
2024-12-24,P003,13.0,5692.1
2024-12-27,P024,9.0,2630.9
2024-02-14,P038,10.0,2348.58
2024-03-16,P082,2.0,943.14
2024-03-12,P090,16.0,3828.62
2024-07-16,P038,19.0,373.51
2024-08-28,P017,11.0,2032.09
2024-05-30,P065,4.0,813.23
2024-10-22,P014,17.0,6821.5
2024-05-28,P043,4.0,1516.35
2024-07-12,P011,18.0,4809.23
2024-02-26,P008,19.0,385.93
2024-11-11,P065,16.0,1345.9
2024-07-11,P037,3.0,1083.26
2024-08-14,P050,20.0,3770.96
2024-11-17,P051,18.0,3758.14
2024-09-09,P067,14.0,5705.51
2024-08-26,P075,13.0,6360.44
2024-10-31,P075,3.0,803.93
2024-06-17,P044,17.0,6942.6
2024-06-27,P061,16.0,1550.16
2024-03-05,P012,17.0,3473.01
2024-11-04,P013,17.0,5189.92
2024-12-10,P050,14.0,3206.16
2024-11-19,P024,12.0,3554.28
2024-11-14,P046,20.0,3507.43
2024-07-08,P093,6.0,1891.93
2024-12-29,P038,17.0,6723.66
2024-08-25,P016,12.0,3442.78
2024-05-06,P079,16.0,2572.45
2024-12-24,P081,16.0,1182.49
2024-06-10,P080,4.0,1222.82
2024-10-20,P056,18.0,6288.11
2024-10-08,P033,5.0,269.47
2024-05-28,P008,10.0,2661.22
2024-12-19,P061,12.0,1663.58
2024-12-09,P070,5.0,734.26
2024-08-14,P073,14.0,6843.69
2024-04-20,P013,6.0,321.17
2024-09-27,P021,8.0,3258.45
2024-12-25,P042,19.0,545.5
2024-01-31,P026,9.0,946.26
2024-07-07,P047,14.0,6659.54
2024-02-14,P008,3.0,1180.75
2024-12-15,P065,7.0,513.32
2024-10-09,P096,18.0,6878.59
2024-08-05,P068,14.0,4320.09
2024-11-27,P064,19.0,2671.78
2024-09-15,P024,18.0,3947.29
2024-11-04,P054,7.0,2723.03
2024-06-01,P062,17.0,1945.01
2024-10-10,P086,20.0,1096.51
2024-07-14,P091,16.0,4615.0
2024-02-20,P069,13.0,5004.04
2024-02-08,P008,18.0,2777.39
2024-09-29,P092,18.0,1496.43
2024-05-05,P063,20.0,2141.91
2024-09-30,P054,6.0,1121.32
2024-01-03,P052,2.0,281.7
2024-10-07,P054,17.0,5993.33
2024-03-01,P057,5.0,1212.13
2024-06-22,P068,12.0,2018.97
2024-03-16,P035,18.0,6197.45
2024-04-23,P058,13.0,4930.73
2024-07-24,P039,3.0,116.75
2024-03-29,P037,8.0,1366.24
2024-12-16,P052,17.0,7960.89
2024-05-20,P004,17.0,4952.12
2024-11-28,P052,7.0,1206.87
2024-11-26,P050,13.0,1671.45
2024-06-16,P091,1.0,252.35
2024-11-06,P049,11.0,1258.98
2024-01-22,P075,19.0,1523.21
2024-03-18,P057,15.0,7240.29
2024-11-07,P024,13.0,3741.35
2024-07-10,P008,10.0,958.29
2024-10-08,P059,19.0,7429.29
2024-07-01,P016,10.0,2827.46
2024-12-12,P092,11.0,3662.37
2024-05-23,P066,19.0,993.67
2024-11-05,P046,15.0,2399.26
2024-02-13,P081,8.0,1880.34
2024-08-10,P047,2.0,645.5
2024-02-14,P036,10.0,3318.64
2024-02-05,P021,19.0,2290.19
2024-08-24,P082,1.0,275.82
2024-05-03,P082,13.0,1937.83
2024-09-07,P032,5.0,1394.51
2024-09-23,P018,5.0,845.41
2024-01-11,P029,9.0,2513.05
